title,type,price,lastUpdated,availableText,itemLocation
XIYUER Women's down jacket Short 90% duck down jacket 2024 high-end new models,Coat,229,"Oct 16, 2024 09:26:58 PDT",10 available,0
Reebok Men's Softshell Jacket,N/A,40,"Oct 16, 2024 09:26:58 PDT",5 available,"Hurst, Texas, United States"
Mens Fleece Jacket Soft Plush Zip Up Fall Winter Outdoor Casual work - Black,Jacket,14.99,"Oct 16, 2024 12:16:32 PDT",4 available,"Alviso, California, United States"
Men's Casual Padded Jacket Winter Warm Hooded Soft Comfort Coat Thick Jacket Top,Jacket,35.83,"Oct 17, 2024 18:11:06 PDT",3 available30 sold,0
Men's Casual Padded Jacket Winter Warm Hooded Soft Comfort Coat Thick Jacket Top,Jacket,35.83,"Oct 17, 2024 18:11:06 PDT",Last one8 sold,0
Warm Mens Casual Padded Hooded Jacket Winter Soft Comfort Coat Thick Jacket,Jacket,35,"Oct 18, 2024 20:02:23 PDT",Last one39 sold,0
Men Winter Warm Thick Fleece Jacket Men Coat Outwear Outdoor Jacket Men,Coat,32.64,"Oct 17, 2024 18:54:55 PDT",10 available7 sold,0
Men's Waterproof Winter Jacket Warm Winter Coat Outdoor Ski Snow Hooded Jacket,Jacket,32.75,"Oct 13, 2024 13:30:10 PDT",6 available19 sold,0
Men's Casual Padded Jacket Winter Warm Hooded Soft Comfort Coat Thick Jacket Top,Jacket,29.36,"Oct 16, 2024 23:31:18 PDT",2 available22 sold,0
Parka Ski Men Thick Winter Puffer Jacket Hooded Quilted Duck Snow Coat Warm Down,Coat,6.64,"Oct 17, 2024 08:57:04 PDT",50 available40 sold,0
"Winter Men Warm Duck Down Jacket Ski Snow Thick Hooded Puffer Coat Parka Quilte,",Coat,11.42,"Oct 17, 2024 16:45:43 PDT",3 available14 sold,0
Men's Winter Jacket Thick Thermal Cotton Warm Fleece Lined Coat Trucker Jackets,Coat,39.52,0,Last one4 sold,0
Vintage 80s 90s Drescente Winter Ski Bomber Jacket Men’s Size M - Perfect!,Jacket,149.99,0,0,"Brooklyn, New York, United States"
Tom Cruise Maverick Military Pilot G-1 Fur Collar Bomber Aviator Leather Jacket,Jacket,135.99,"Oct 06, 2024 12:13:53 PDT",2 available,0
Billabong Ski 8K Winter Jacket Womens M Hooded Lined Black Multicolor Print,Jacket,50,0,0,"Baytown, Texas, United States"
Kjus quilted exceptional women's black white ski jacket sz 38,Jacket,590,"Jan 17, 2024 06:28:15 PST",0,"New York, New York, United States"
